Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Dallas Cowboys,15,D,4400,DAL,NYG,11.0,DAL by 16.5,5.9,0.4,0.9,155,114,10.6,15.2,7.0,13.0,13.0,-1.8,27.8,11.4,2.6,8.0,1.8
Seattle Seahawks,4,D,4100,SEA,WAS,19.3,SEA by 6,4.9,0.6,1.0,242,90,21.2,10.4,6.3,9.0,9.0,-0.5,18.5,8.8,2.1,5.0,1.2
Baltimore Ravens,7,D,4000,BAL,CLE,16.3,BAL by 6,3.0,0.8,1.4,184,144,21.9,9.8,11.7,10.0,10.0,5.2,14.8,9.3,2.3,14.0,3.5
New Orleans Saints,2,D,3900,NO,@MIN,19.3,NO by 2.5,2.4,1.3,0.6,273,81,21.6,8.1,7.0,8.9,8.9,2.3,15.5,8.0,2.1,1.0,0.3
Pittsburgh Steelers,4,D,3800,PIT,GB,17.8,PIT by 3,2.3,0.3,1.0,200,100,19.3,6.9,7.3,10.0,10.0,1.4,18.6,8.2,2.2,8.0,2.1
Buffalo Bills,2,D,3800,BUF,DEN,19.8,BUF by 7.5,3.3,1.0,0.5,185,117,20.8,8.3,3.0,9.0,9.0,-0.2,18.2,7.9,2.1,6.0,1.6
Atlanta Falcons,1,D,3700,ATL,@ARI,21.0,ATL by 1.5,2.7,0.6,0.8,163,127,16.1,8.4,7.7,5.3,5.3,1.1,9.6,7.3,2.0,4.0,1.1
San Francisco 49ers,1,D,3600,SF,@JAX,21.3,SF by 3,2.4,1.1,0.5,229,113,22.6,7.6,4.3,7.1,7.1,2.0,12.2,7.5,2.1,20.0,5.6
Tampa Bay Buccaneers,3,D,3500,TB,TEN,18.5,TB by 1.5,3.6,0.3,0.9,188,115,18.5,7.1,4.3,7.6,7.6,2.3,12.9,8.3,2.4,13.0,3.7
Las Vegas Raiders,1,D,3500,LV,NYJ,18.8,NYJ by 1,4.0,1.0,0.6,170,103,15.3,10.9,12.0,7.0,7.0,0.3,13.7,8.0,2.3,8.0,2.3
Green Bay Packers,1,D,3400,GB,@PIT,20.8,PIT by 3,2.4,0.3,0.8,188,91,14.9,6.6,7.0,7.0,7.0,2.3,11.7,6.9,2.0,1.0,0.3
Indianapolis Colts,1,D,3400,IND,@NE,21.0,IND by 1.5,2.0,0.6,1.0,203,87,14.8,10.8,10.0,7.4,7.4,-0.6,15.4,7.6,2.2,16.0,4.7
Tennessee Titans,,D,3300,TEN,@TB,20.0,TB by 1.5,1.6,0.4,0.5,224,78,19.0,5.8,4.7,5.5,5.5,1.6,9.4,6.4,1.9,6.0,1.8
Minnesota Vikings,,D,3200,MIN,NO,21.8,NO by 2.5,2.3,0.6,0.6,240,104,21.0,5.9,7.7,8.0,8.0,1.1,14.9,6.3,2.0,8.0,2.5
Chicago Bears,1,D,3200,CHI,CAR,17.8,CHI by 3,3.6,0.5,0.9,187,96,16.0,10.5,6.0,4.6,4.6,-1.7,10.8,8.1,2.5,7.0,2.2
Detroit Lions,0,D,3100,DET,@LAC,22.8,DET by 3,2.5,0.3,0.5,240,101,25.1,3.9,6.7,7.8,7.8,1.7,13.8,6.4,2.1,-2.0,-0.6
Carolina Panthers,,D,3100,CAR,@CHI,20.8,CHI by 3,3.3,0.7,1.3,191,135,20.2,11.3,5.3,4.8,4.8,0.1,9.4,7.4,2.4,7.0,2.3
Cleveland Browns,0,D,3000,CLE,@BAL,22.3,BAL by 6,2.3,1.0,0.3,209,160,26.3,5.8,14.7,10.3,10.3,3.8,16.7,6.8,2.3,15.0,5.0
New York Jets,1,D,3000,NYJ,@LV,17.8,NYJ by 1,2.4,0.3,1.4,199,76,16.4,8.7,8.0,9.1,9.1,2.2,16.0,8.3,2.8,8.0,2.7
Commanders,,D,2900,WAS,@SEA,25.3,SEA by 6,2.3,0.4,0.9,214,97,19.9,6.3,4.7,5.9,5.9,1.3,10.5,5.4,1.9,0.0,0.0
Cincinnati Bengals,4,D,2800,CIN,HOU,20.3,CIN by 6.5,2.3,0.5,0.1,264,87,23.4,3.8,9.0,9.0,9.0,5.2,12.8,6.8,2.4,6.0,2.1
Houston Texans,,D,2700,HOU,@CIN,26.8,CIN by 6.5,2.3,0.3,0.5,216,76,18.6,5.5,5.7,6.6,6.6,1.4,11.9,5.2,1.9,8.0,3.0
New England Patriots,,D,2700,NE,IND,22.5,IND by 1.5,2.4,0.9,0.7,221,123,23.8,6.4,6.0,5.0,5.0,2.5,7.5,6.6,2.4,6.0,2.2
Los Angeles Chargers,0,D,2600,LAC,DET,25.8,DET by 3,2.0,0.6,0.6,259,131,24.3,6.5,13.3,9.4,9.4,1.2,17.6,5.3,2.0,-4.0,-1.5
Arizona Cardinals,6,D,2500,ARI,ATL,22.5,ATL by 1.5,3.0,1.0,0.8,220,124,18.2,8.7,4.3,5.2,5.2,-0.9,11.3,6.1,2.4,3.0,1.2
Jacksonville Jaguars,,D,2400,JAX,SF,24.3,SF by 3,1.8,0.5,0.6,243,134,27.3,3.0,10.7,9.0,9.0,2.2,15.8,5.4,2.3,1.0,0.4
Denver Broncos,,D,2300,DEN,@BUF,27.3,BUF by 7.5,1.4,0.6,1.0,262,108,26.0,4.7,8.3,6.4,6.4,0.5,12.3,5.0,2.2,8.0,3.5
New York Giants,,D,2100,NYG,@DAL,27.5,DAL by 16.5,2.9,0.4,0.6,235,112,24.3,4.9,8.3,4.9,4.9,-1.3,11.1,4.8,2.3,0.0,0.0
